otroiier	39	otrierai	1	otroia	15	otroiast	2	otroie	2	otroier	2	otroierent	2	otroiez	1	otroioies	1	otroions	1	otroit	6	otroié	4	otroïe	2																																																																																																		
parmanoir	5	parmanoir	2	parmanroit	1	parmeindroit	1	parmest	1																																																																																																																		
paroir	2	parut	1	peire	1																																																																																																																						
paroisse	2	parosse	1	parroce	1																																																																																																																						
ploiier	3	plaia	1	ploier	1	ploïe	1																																																																																																																				
plovoir	2	plut	2																																																																																																																								
poi	50	peu	3	poi	8	pou	39																																																																																																																				
poindre	5	poindera	1	poinst	1	point	2	portanz	1																																																																																																																		
poissance	9	poissance	3	puissance	6																																																																																																																						
poissant	23	poissanz	5	puissant	1	puissanz	17																																																																																																																				
poissonel	1	pissonniaus	1																																																																																																																								
pöoir	408	Peüssent	1	peus	1	peümes	2	peüs	1	peüssent	19	peüsses	1	peüssiez	2	peüst	44	poez	31	poi	1	pooie	2	pooient	21	pooir	13	pooit	55	poons	2	porai	1	porent	18	poroie	1	poroient	1	poroit	2	porra	2	porrai	2	porras	2	porrent	6	porrez	1	porrions	1	porroie	1	porroient	6	porroit	29	porroiz	1	pot	34	potest	1	pout	3	poés	2	pueent	4	puent	2	puet	23	puez	6	puis	4	puisse	16	puissent	12	puisses	7	puissiez	5	puissons	10	puist	9																																
ramentevoir	1	ramenteüe	1																																																																																																																								
rassëoir	1	rassist	1																																																																																																																								
ravoir1	1	rot	1																																																																																																																								
ravoir2	10	raurai	1	raveroient	1	raveroies	1	ravoient	1	ravoier	1	ravoioit	1	ravoir	2	rot	2																																																																																																										
recevoir	109	Recevez	1	recevera	1	receveroit	2	recevoient	3	recevoir	3	recevrai	1	recevroient	1	receü	18	receüe	18	receües	1	receüssent	1	receüst	1	receüz	6	recheü	1	rechoif	1	rechut	3	reciurent	1	reçoive	1	reçoivent	1	reçoivre	19	reçurent	3	reçut	22																																																																														
reconoistre	10	reconois	1	reconoissoies	1	reconoistre	1	reconurent	1	reconut	5	regnoissoient	1																																																																																																														
recroire	1	recrié	1																																																																																																																								
remanoir	35	ramenoit	1	remanoit	1	remanroit	1	remansist	1	remeint	1	remena	2	remenerent	1	remes	8	remese	4	remesse	1	remest	10	remistrent	3	remés	1																																																																																																
removoir	7	removoir	6	remut	1																																																																																																																						
renchëoir	1	rencheüs	1																																																																																																																								
repöoir	1	repoez	1																																																																																																																								
revoloir	1	revout	1																																																																																																																								
röoignier	1	roegnier	1																																																																																																																								
savoir	418	Saces	6	Saches	2	Sachiez	2	Saciez	3	Savoir	1	Savoit	1	Sez	1	mescest	1	sace	9	sacent	2	saces	13	sacez	1	sache	1	saches	2	sachiez	29	saciez	16	saciés	1	sacrez	1	sai	46	saura	1	saurai	2	sauroient	1	sauroit	4	sauroiz	1	savez	4	savions	1	savoient	28	savoies	1	savoir	37	savoirs	1	savoit	54	savons	6	saçons	1	sei	4	seit	6	ses	3	set	6	sevent	4	sez	5	seü	1	seüe	4	seüsse	1	seüssent	7	seüssiez	1	seüst	12	seüz	1	sorent	30	sot	52	sout	1																								
soi1	854	s	427	se	424	soi	3																																																																																																																				
soissante	1	sessante	1																																																																																																																								
soloir	36	sieus	1	soliez	1	soloient	9	soloies	1	soloit	23	suel	1																																																																																																														
sëoir	28	seant	4	seoient	3	seoir	5	seoit	11	seïssent	1	seüst	1	siece	1	siet	2																																																																																																										
tempoire	7	tempoire	4	tempore	1	temporie	1	tenpore	1																																																																																																																		
valoir	10	valoient	1	valoir	1	valoit	3	valu	2	vaudroit	1	vaut	2																																																																																																														
voillance	1	voellance	1																																																																																																																								
voir	12	Voire	1	Voiz	1	vit	1	voir	3	voire	3	voirs	3																																																																																																														
voisos	3	viseus	1	voiseus	2																																																																																																																						
voloir	311	Volez	1	Vousist	1	velt	1	veul	1	veus	4	veut	2	vius	4	viut	4	voeil	3	voel	22	voelent	7	voelle	5	voellent	1	voil	1	voldrai	1	volez	8	volions	1	voloie	1	voloient	21	voloies	4	voloir	3	voloirs	1	voloit	97	volons	4	volsist	1	volt	6	voudra	3	voudrai	1	voudrent	7	voudrions	2	voudroie	4	voudroit	7	voudroiz	1	vourent	1	vousis	1	vousissent	2	vousisses	1	vousist	14	vousistes	1	vout	60	vuelent	1																																								
vëoir	446	Veez	5	revist	1	veez	5	veiés	1	veoie	1	veoient	15	veoir	50	veoit	15	veons	3	verrai	1	verroient	1	verroit	1	verroiz	2	verront	1	veïmes	11	veïs	2	veïsmes	1	veïssent	1	veïsses	1	veïssiez	6	veïst	4	veü	40	veüe	18	veües	11	veüs	2	veüz	2	vi	9	vieus	2	virent	67	vit	137	viç	9	voi	9	voiant	1	voie	6	vois	1	voit	3	voiz	1																																																
