Graphie du mot Dieu
Lemme : dieu	195
Deu	112
Dex	79
Diu	2
Dé	1
Deus	1

Graphie du mot lieu
Lemme : lieu	142
leu	95
leus	26
liu	13
lius	4
lieu	3
lieus	1

§10 Réduction de e ouvert libre en i
parlerent	8
parloient	3

Lemme :parmenablement	1
parmanable	1

Lemme :penitence	2
penitance	2
penitance	2

Lemme :peser	5
pesanz	1

Lemme :plaire	30
plesanz	3
plaierent	1
pleisoient	1

Lemme :plorer	78
plorant	30
ploroient	10

Lemme :porter	72
portant	1
portanz	1
portassent	1
portent	1
porterent	2
portient	1
portoient	7

Lemme :prëechier	40
preecant	1
preechant	2
preeschant	1
preechierent	1
preechoient	2
preeschoient	1
preeçoient	1
prenderons	1

Lemme :püir	1
puans	1

Lemme :querre	51
qerant	3
querant	4
qeroient	4
qeïssent	2
qierent	1
qistrent	3
quisissent	1

Lemme :recomencier	12
recomant	1
recomencier	1
recomencierent	1
recomença	6
recomençoit	2
recoumença	1

Lemme :repentir	7
repentanz	1
repent	1
repentanz	1
repenti	1
repentirent	1
repentisses	1
repentoit	2

Lemme :resplendir	12
resplendissant	2
resplendissanz	2
resplendi	3
resplendir	1
resplendissant	2
resplendissanz	2
resplendissoient	1
resplendissoit	3

Lemme :respondre1	129
respandi	1
respant	1
respondirent	17

Lemme :saint	1753
sancto	1

Lemme :semer1	1
semant	1

Lemme :serrer	2
serrant	1

Lemme :sëoir	28
seant	4
seoient	3
seïssent	1

Lemme :süer	1
suant	1

Lemme :taire	21
teisanz	1
teurent	3
teürent	1
teüssent	2

Lemme :trebuchier	5
trebuchant	2
trebucierent	1

Lemme :trembler1	5
tramblant	2
tramblerent	1
trambloient	1

Lemme :trespasser	77
trespassanz	1
trespassassent	1
trespasserent	2
trespassoient	3

Lemme :uller1	1
uslanz	1

Lemme :vivre1	69
vivant	5
vivanz	1
vesqissent	3
vesquissent	1
vivent	5
vivoient	4

Lemme :vëoir	446
voiant	1
veoient	15
verroient	1
veïssent	1
virent	67

Lemme :öir	284
oiant	3
oient	1
ooient	7
oïrent	29


mots en enLemme :*ex	13
Benedic	1
anima	1
sancto	1

Lemme :-	129
Penitentiam	1
commendo	1
condenpnabitur	1
enim	1
enutries	1
nomen	1
renatus	1
Euvangelium	1
manus	1

Lemme :Aquino	1
Aquinense	1

Lemme :Aurelius	5
Aurelien	3
Aureliens	2

Lemme :Constantin	3
Costentin	3

Lemme :Constantinople	4
Costentinoble	2
Costantinoble	2

Lemme :Eufamianus	21
Eufemien	5
Eufemiens	6
Eufamianus	2
Eufemianus	7
Eufimianus	1

Lemme :Jerusalem	7
Nemausense	1

Lemme :Madelaine	1
Magdalene	1

Lemme :Terracine	1
Teracenense	1

Lemme :aaisier	1
aaisierent	1

Lemme :abatre	27
abatirent	2
abatissent	1
abstenir	1

Lemme :abiter	49
habitent	11
habitoient	14

Lemme :achater	5
achatoient	2

Lemme :acliner	4
aclinoient	1

Lemme :acompagnier	4
acompaignierent	1

Lemme :acomunier	2
acomenier	1
acommenia	1

Lemme :acorder	2
acorderent	1
acorderoient	1

Lemme :acorre	8
acoroient	1
acorurent	2
acorant	1

Lemme :aemplir	31
aemplirent	1
aempliroient	1

Lemme :afichier	1
afichierent	1

Lemme :aidier	35
aidierent	1
aidoient	1

Lemme :ainsi	166
ensi	10
ensint	2

Lemme :aisier	1
asent	1

Lemme :aler	444
alassent	11
alerent	44
aloient	18
iroient	3

Lemme :amer1	33
aiment	1
amassent	1
amerent	1
amoient	8

Lemme :an	75
enz	1
an	24
ans	5
anz	45

Lemme :anacorite	6
enacorinte	1
