Graphie du mot Dieu $9

lemme : dieu	Nombres d'occurrences : 195
viellece	2	
Lemme : tonel	5	2
toniaus	1	
toniel	2	
tonel	2	
Lemme : lïon	32	2
liens	2	
lionesse	3	
lion	9	
lions	18	
Lemme : archadés	10	2
archadies	2	
archade	3	
archades	5	
Lemme : departir	108	3
deparz	1	
depar	1	
departeïst	1	
de﻿partie	1	
departez	1	
departons	1	
departimes	2	
departoient	2	
depart	2	
departies	3	
departisist	3	
departiroit	3	
de﻿parti	3	
departoit	4	
departie	4	
departir	8	
departiz	10	
departirent	11	
departi	47	
Lemme : aideor	3	3
aidieres	1	
aidierres	2	
Lemme : sëoir	28	3
seïssent	1	
seüst	1	
siece	1	
siet	2	
seoient	3	
seant	4	
seoir	5	
seoit	11	
Lemme : tesmoin	13	3
tesmoinz	1	
tesmoins	2	
tiesmoing	3	
tesmoing	7	
Lemme : près	49	3
pries	3	
pres	46	
Lemme : ier	5	3
ier	2	
hier	3	
Lemme : avoir	1960	3
auroies	1	
aurions	1	
avom	1	
eüsmes	1	
