;C1;C2;C3;D;E2;F2;G1;M1;N1
601;1;1;1;1;NA;NA;2;1;1
602;1;1;1;1;1;NA;2;3;3
603;1;1;1;1;1;1;1;2;1
604;1;1;1;2;1;1;1;1;1
605;1;1;1;1;1;2;1;1;1
606;1;1;1;1;1;0;1;1;1
607;1;1;1;1;1;NA;1;1;2
608;1;1;1;1;1;1;1;1;2
609;1;1;2;3;4;5;6;7;7
610;1;2;1;1;1;1;3;2;2
611;1;1;1;1;1;0;1;1;1
612;1;1;1;1;1;1;0;1;1
613;1;1;1;1;1;1;1;1;0
614;1;1;1;1;1;2;3;1;1
615;1;1;1;1;1;1;0;1;0
616;1;1;1;1;1;1;2;3;3
617;1;1;1;1;1;2;3;1;1
618;1;1;1;1;1;1;2;2;2
619;1;1;1;1;1;2;1;1;1
620;1;1;1;1;0;NA;1;1;1
621;1;1;1;1;1;0;1;1;1
622;1;1;1;1;1;NA;2;2;2
623;1;1;1;1;1;NA;2;1;1
624;1;1;1;1;1;NA;1;2;2
625;1;1;1;1;1;NA;0;0;0
626;1;1;1;1;1;2;1;1;1
627;1;1;1;1;1;2;3;3;3
628;1;1;1;1;1;0;1;1;1
629;1;1;1;1;1;0;1;1;0
630;1;1;1;1;1;2;1;1;1
631;1;1;1;2;1;NA;3;1;1
632;1;1;1;1;1;0;1;1;1
633;1;1;1;1;1;NA;0;1;1
634;1;1;1;2;1;NA;1;1;1
635;1;1;1;1;1;NA;2;1;1
636;1;1;1;1;1;2;1;1;1
637;1;1;1;1;1;0;1;1;1
638;1;1;1;1;1;NA;1;2;2
639;1;1;1;1;1;NA;0;1;0
640;1;1;1;1;2;NA;1;1;1
641;1;1;1;1;1;NA;0;0;0
642;1;1;2;1;1;NA;1;1;1
643;1;1;1;1;1;NA;2;2;2
644;1;1;1;1;1;0;1;1;1
645;1;1;1;1;0;NA;1;1;1
646;1;1;1;1;1;0;1;1;1
647;1;1;1;1;1;NA;2;2;2
648;1;1;1;1;1;1;1;2;2
649;1;1;1;1;1;0;0;1;1
650;1;1;1;1;1;1;2;1;1
651;1;1;1;1;1;1;0;0;0
652;1;1;1;1;1;1;1;2;2
653;1;1;1;1;1;1;2;3;3
654;1;1;1;1;1;2;1;1;1
