;C1;D;E2;F2;G1;M1;N1
462;1;1;1;NA;2;1;1
463;1;1;1;NA;0;3;3
464;1;2;2;1;1;1;1
465;1;1;1;1;2;1;1
466;1;1;1;1;2;1;2
467;1;1;1;0;1;1;1
468;1;1;1;NA;0;1;1
469;1;2;2;NA;3;4;1
470;1;1;1;1;0;0;0
471;1;1;1;1;1;2;2
472;1;1;1;1;2;NA;NA
473;1;1;1;1;2;1;1
474;1;1;1;1;2;3;1
475;1;1;1;2;3;4;5
476;1;1;0;1;1;1;1
477;1;1;1;0;1;1;1
478;1;1;1;NA;1;1;2
479;1;1;0;NA;0;1;3
480;1;1;1;1;1;2;1
481;1;1;1;2;1;1;1
482;1;1;1;0;1;1;1
483;1;1;1;NA;1;1;2
484;1;1;1;0;1;1;1
485;1;1;1;NA;1;1;2
486;1;1;1;NA;2;2;3
487;1;1;1;1;2;1;1
488;1;1;1;0;NA;1;1
489;1;1;1;NA;NA;1;2
490;1;1;1;1;NA;2;1
491;1;1;1;0;1;0;0
492;1;1;2;1;1;1;1
493;1;1;1;2;1;1;1
494;1;1;1;0;0;1;1
495;1;1;2;NA;NA;1;1
496;1;1;1;NA;NA;2;2
497;1;1;2;1;2;1;1
498;1;2;2;2;3;4;4
499;1;1;1;0;0;1;1
500;1;1;1;2;1;3;1
501;1;1;1;1;2;2;2
502;1;1;1;0;1;1;1
503;1;1;0;NA;1;1;1
504;1;1;1;0;1;1;1
505;1;1;1;0;1;1;1
506;1;1;1;1;1;2;2
507;1;1;1;0;1;1;1
508;1;2;1;NA;1;1;1
509;1;1;1;NA;2;3;3
510;1;1;2;1;2;2;2
511;1;1;1;1;2;1;1
512;1;1;1;1;2;2;2
513;1;1;2;2;1;1;1
514;1;1;1;0;1;1;1
515;1;1;1;NA;1;2;1
516;1;1;1;0;0;1;0
517;1;1;1;1;2;1;3
518;1;1;1;1;0;1;1
519;1;1;1;1;0;0;0
520;1;1;1;0;1;1;1
521;1;1;1;0;1;1;1
522;1;1;1;2;1;1;1
523;1;1;1;2;1;1;1
