;C1;C2;C3;D;E2;F2
699;1;1;1;1;1;0
700;1;1;1;1;1;0
701;1;1;1;NA;2;1
702;1;1;1;1;1;0
703;1;1;1;1;1;0
704;1;1;0;1;1;1
705;1;1;1;1;1;0
706;1;1;1;1;1;0
707;1;1;1;2;2;1
708;1;1;1;0;1;0
709;1;1;1;1;1;2
710;1;1;1;1;2;NA
711;1;1;1;1;1;0
712;1;1;1;1;1;2
713;1;1;1;1;1;0
714;1;1;1;1;1;0
715;1;1;1;1;1;0
716;1;1;0;1;1;1
717;1;1;1;1;1;0
718;1;1;1;1;0;1
719;1;1;1;1;1;2
720;1;1;1;1;2;1
721;1;1;1;0;1;1
722;1;1;1;2;1;1
723;1;1;1;1;1;0
724;1;1;1;2;1;NA
725;1;2;1;1;1;1
726;1;1;1;1;1;0
727;1;1;1;1;1;0
728;1;1;0;0;0;0
729;1;1;1;0;0;0
730;1;1;1;1;0;1
731;1;1;1;1;1;2
732;1;1;1;1;1;0
733;1;1;1;1;1;0
734;1;1;1;1;1;0
735;1;1;1;1;1;0
736;1;1;1;1;1;0
737;1;1;1;1;0;0
738;1;1;1;1;1;2
739;1;1;1;1;1;0
740;1;1;1;1;0;0
741;1;1;1;2;2;NA
742;1;1;1;1;1;0
743;1;1;1;1;1;2
744;1;1;1;1;1;0
745;1;1;1;1;1;0
746;1;1;1;1;1;0
747;1;1;1;1;1;0
748;1;1;1;1;1;2
749;1;1;1;1;1;2
750;1;1;1;1;1;0
751;1;1;1;1;1;2
752;1;1;1;1;0;NA
753;1;1;1;1;0;NA
754;1;1;1;1;0;NA
755;1;1;0;0;0;0
756;1;1;1;1;1;0
757;1;2;1;1;1;NA
758;1;1;1;2;2;NA
759;1;1;1;0;1;3
760;1;1;1;1;1;0
761;1;1;1;2;2;2
762;1;1;1;1;1;0
763;1;1;1;1;1;0
764;1;1;1;1;1;2
765;1;1;1;1;0;1
766;1;1;1;1;1;2
767;1;1;1;1;1;0
768;1;1;1;2;2;2
769;1;1;1;1;1;0
770;1;1;1;1;1;0
771;1;1;1;1;1;2
772;1;2;2;2;2;2
773;1;1;1;1;1;2
774;1;1;1;2;1;3
775;1;1;1;1;1;0
776;1;1;1;1;2;NA
777;1;1;1;1;1;2
778;1;1;1;1;1;0
779;1;1;1;2;2;NA
780;1;0;1;1;1;NA
781;1;1;1;1;1;2
782;1;1;1;1;1;0
783;1;1;1;1;1;2
784;1;1;2;1;1;1
785;1;1;1;1;2;1
786;1;1;1;1;1;0
787;1;1;1;1;1;0
788;1;1;2;1;1;1
789;1;1;1;2;1;1
790;1;1;1;NA;2;2
791;1;1;1;1;1;0
792;1;1;1;1;1;2
793;1;1;1;1;1;2
794;1;1;1;1;1;0
795;1;2;1;2;2;1
796;1;1;1;1;1;0
797;1;1;1;1;2;1
798;1;1;1;1;1;2
799;1;1;1;1;1;0
800;1;1;2;1;1;3
801;1;1;1;1;1;0
802;1;1;1;1;2;NA
803;1;1;1;1;0;0
804;1;1;1;1;1;0
805;1;1;1;1;1;0
806;1;1;0;0;0;0
807;1;1;1;1;1;0
808;1;1;1;1;2;1
809;1;0;1;0;0;0
810;1;1;1;1;1;0
811;1;1;1;1;1;0
812;1;1;1;1;1;0
813;1;1;1;1;1;0
814;1;1;1;1;0;1
815;1;1;1;1;1;2
816;1;1;1;1;1;2
817;1;1;1;1;1;0
818;1;2;1;2;2;2
819;1;1;0;1;1;1
820;1;1;1;1;1;0
821;1;1;1;1;1;0
822;1;0;1;1;1;1
823;1;1;2;2;2;2
824;1;1;1;1;1;0
825;1;1;1;1;0;0
826;1;1;1;1;1;0
827;1;1;0;0;0;0
828;1;1;1;1;0;0
829;1;1;1;1;1;0
830;1;1;1;1;1;2
831;1;1;1;1;1;0
832;1;1;1;1;1;2
833;1;1;1;1;1;0
834;1;1;1;1;0;1
835;1;1;1;0;0;1
836;1;1;1;1;1;0
837;1;1;1;1;1;0
838;1;1;2;1;1;1
839;1;1;1;1;0;1
840;1;1;1;1;1;0
841;1;1;1;1;1;0
842;1;1;1;1;1;0
843;1;1;1;1;2;1
844;1;1;1;1;1;0
845;1;1;1;2;2;NA
846;1;1;1;1;1;0
847;1;1;1;1;1;2
848;1;1;1;1;1;2
849;1;1;1;1;0;1
850;1;1;1;1;1;0
851;1;1;1;1;1;0
852;1;1;1;1;2;NA
853;1;1;0;0;0;0
854;1;1;1;1;0;0
855;1;1;1;2;2;2
856;1;1;1;1;2;1
857;1;1;1;1;1;0
858;1;1;1;1;1;0
859;1;1;1;1;2;3
860;1;1;1;2;1;1
861;1;1;1;1;1;0
862;1;1;1;1;1;0
863;1;1;1;1;1;0
864;1;1;1;1;0;1
865;1;1;1;1;0;1
866;1;1;1;1;0;0
867;1;1;1;1;1;0
868;1;1;1;2;2;1
869;1;1;1;1;1;0
870;1;1;1;1;1;0
871;1;1;1;2;2;0
872;1;1;1;1;1;2
873;1;1;1;1;1;2
874;1;1;1;1;1;0
875;1;1;1;1;1;0
876;1;1;1;1;1;2
877;1;1;1;1;1;0
878;1;1;1;1;1;2
879;1;1;1;1;1;0
880;1;1;1;1;2;NA
881;1;1;1;1;1;0
882;1;1;0;0;0;0
883;1;1;1;2;1;1
884;1;1;1;1;1;0
885;1;1;1;1;1;0
886;1;1;1;2;2;3
887;1;1;1;1;1;0
888;1;1;1;2;2;NA
889;1;1;1;1;1;0
890;1;1;1;1;1;2
891;1;1;1;1;1;0
892;1;1;0;0;0;0
893;2;1;NA;NA;NA;NA
894;1;1;1;1;1;0
895;1;1;1;1;1;0
