Graphie du mot Dieu $9

lemme : dieu	Nombres d'occurrences : 195
Confusion graphique an/en $15
mots en en

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : ensemble	252	212
ensamble	210	
ensemble	40	
ensanble	2	
Lemme : enfant	92	49
enfes	43	
enfant	38	
enfanz	10	
enfans	1	
Lemme : comandement	49	49
comandement	14	
comandemenz	12	
conmandement	11	
conmandemenz	8	
coumandement	2	
coumandemenz	1	
conmandemens	1	
Lemme : essemple	24	19
example	13	
examples	6	
exemple	3	
exemples	2	
Lemme : semblance	16	16
semblance	7	
samblance	6	
semblances	1	
samblances	1	
sanblance	1	
Lemme : errement	8	8
erranment	8	
Lemme : enfance	7	7
enfance	6	
enfances	1	
Lemme : semblant	7	7
samblant	4	
semblant	3	
Lemme : venjance	4	4
venjance	4	
Lemme : mandement	3	3
mandement	2	
mandemenz	1	
Lemme : ofrende	3	2
offrandes	2	
offrendes	1	
Lemme : assemblee	5	2
assemblee	3	
assamblee	2	
Lemme : penitence	2	2
penitance	2	
Lemme : enchanterie	2	2
enchanterie	2	
Lemme : granment	2	2
gramnent	1	
granment	1	
Lemme : remembrance	2	2
ramembrance	2	
Lemme : atemprance	1	1
atemprance	1	
Lemme : frenge	1	1
frange	1	
Lemme : semblable	2	1
samblables	1	
semblable	1	
Lemme : astinence	5	1
abstinence	3	
abstinance	1	
abstinences	1	
Lemme : granement	1	1
granment	1	
Lemme : dessemblable	1	1
dessamblables	1	
Lemme : sanglent	1	1
sanglenz	1	
Lemme : ensivance	1	1
ensivance	1	
Lemme : enchantëor	1	1
enchanteresses	1	
Lemme : enchantement	1	1
enchantement	1	
Lemme : ancïenement	1	1
ancienement	1	
Lemme : enfançon	1	1
enfançon	1	
Lemme : abondanment	1	1
habundanment	1	

mots en an

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : enfant	92	92
enfes	43	
enfant	38	
enfanz	10	
enfans	1	
Lemme : comandement	49	49
comandement	14	
comandemenz	12	
conmandement	11	
conmandemenz	8	
coumandement	2	
coumandemenz	1	
conmandemens	1	
Lemme : semblance	16	8
semblance	7	
samblance	6	
semblances	1	
samblances	1	
sanblance	1	
Lemme : dïemanche	8	8
diemence	8	
Lemme : enfance	7	7
enfance	6	
enfances	1	
Lemme : anciien	11	4
ancien	4	
anciens	3	
anciene	2	
ancïens	1	
ancienes	1	
Lemme : venjance	4	4
venjance	4	
Lemme : semblant	7	3
samblant	4	
semblant	3	
Lemme : mandement	3	3
mandement	2	
mandemenz	1	
Lemme : constantin	3	3
costentin	3	
Lemme : enchanterie	2	2
enchanterie	2	
Lemme : granment	2	2
gramnent	1	
granment	1	
Lemme : remembrance	2	2
ramembrance	2	
Lemme : constantinople	4	2
costantinoble	2	
costentinoble	2	
Lemme : atemprance	1	1
atemprance	1	
Lemme : covenant	2	1
covenent	1	
covenant	1	
Lemme : covenance	2	1
covenence	1	
covenance	1	
Lemme : mangier	85	1
mengier	30	
mengoit	9	
mengié	8	
menga	5	
mengierent	5	
mengeroit	3	
mengoient	3	
mengue	2	
menjoient	2	
mengiers	2	
mengerai	2	
mengerons	2	
mengast	2	
menja	1	
mengoie	1	
menjames	1	
menjoit	1	
mengiez	1	
mengastes	1	
mengassent	1	
menjuces	1	
mengeront	1	
menguce	1	
Lemme : amboise	1	1
embaise	1	
Lemme : franc1	2	1
franchement	1	
frans	1	
Lemme : sanglent	1	1
sanglenz	1	
Lemme : ensivance	1	1
ensivance	1	
Lemme : enchantëor	1	1
enchanteresses	1	
Lemme : enchantement	1	1
enchantement	1	
Lemme : ancïenement	1	1
ancienement	1	
Lemme : enfançon	1	1
enfançon	1	
Lemme : abondanment	1	1
habundanment	1	



Forme alternantive des infinitifs : seîr, caïr/keïr et veïr $17
veoir (50)
cheïr (2)
cheoir (34)
seoir (5)

-gula > pic. iule $18
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : riule	10	6
riule	6	
ruile	2	
regle	1	
ruigle	1	

Confusion graphique ain pour ein $19
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : peine	52	20
peines	20	
paine	10	
paines	10	
peine	7	
poines	4	
peinnes	1	
Lemme : chäeine	8	2
chaïnes	5	
chaine	1	
chaines	1	
chaenes	1	
Lemme : constreindre	8	2
constreint	2	
constreinz	1	
constreinst	1	
constrains	1	
constreindre	1	
constrainz	1	
constreignoit	1	
Lemme : peindre1	2	2
painte	2	
Lemme : ceindre	2	1
chainte	1	
ceinstrent	1	
Lemme : serein	1	1
serain	1	
Lemme : desdeing	1	1
desdaing	1	
Lemme : aleine	1	1
alaine	1	

Graphie ein pour ain
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : saint	1753	1739
seinz	807	
seint	721	
seinte	124	
seintes	28	
seintisme	22	
seintismes	17	
saint	13	
seins	11	
seintime	7	
seintimes	2	
sancto	1	
Lemme : ainsi	166	149
einsi	90	
einsint	59	
ensi	13	
ensint	3	
ainsi	1	
Lemme : main2	107	106
meins	51	
mein	47	
meinz	8	
main	1	
Lemme : ainz	126	101
einz	101	
ainz	23	
ains	2	
Lemme : maint	60	59
meintes	34	
meint	19	
meinz	3	
meinte	2	
maintes	1	
meins	1	
Lemme : maintenant	56	56
meintenant	56	
Lemme : pain	32	29
pein	25	
peins	4	
pain	3	
Lemme : lendemain	27	27
lendemein	27	
Lemme : umain	25	25
humeine	14	
umeine	5	
humeines	2	
humeins	2	
humeinz	2	
Lemme : vilain	23	23
vilein	10	
vileins	7	
vileinz	4	
vileinement	1	
vileine	1	
Lemme : prochain	21	17
procheine	5	
proceine	5	
proçaine	2	
proceins	2	
proceines	1	
prochaine	1	
procheines	1	
prochein	1	
proçaines	1	
procheins	1	
proceinz	1	
Lemme : sain	16	15
sein	7	
seinz	5	
seine	2	
seins	1	
saines	1	
Lemme : maintenir	15	14
meintenir	4	
meintenoit	3	
meintenu	1	
meintenist	1	
meintient	1	
maintint	1	
